loco_number,current_operator,vehicle_description,train_id,route,date_time_added,last_seen,lat,lon,source
1102,,QUBE BlueScope Steel Transfer,4962,4962 Morandoo Port Kembla,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-34.466033,150.878773,trains.json
1428,,QUBE Trip Train,T250,T250 Moorebank IMEX Terminal Port Botany,2026-04-29T17:19:50.671764Z,2026-04-30T00:02:48.407086Z,-33.92585,151.180627,trains.json
1435,,QUBE Trip Train,T231,T231 Port Botany IMEX Rail Terminal Moorebank,2026-04-29T18:02:14.194502Z,2026-04-30T00:32:55.361185Z,-33.927263,150.925733,trains.json
1437,,QUBE Trip Train,T260,T260 Moorebank IMEX Terminal Port Botany,2026-04-29T17:31:31.316802Z,2026-04-30T01:03:19.068540Z,-33.955713,151.218787,trains.json
4708,,"JBR ""Aurora Australis"" Riverina Tour",SL08,SL08 Temora Orange,2026-04-30T00:32:55.361185Z,2026-04-30T01:03:19.068540Z,-34.451017,147.530627,trains.json
4829,,SSR Manildra Grain Shuttle,8875,8875 Manildra Western NSW,2026-04-29T18:28:19.918328Z,2026-04-30T00:32:55.361185Z,-32.016853,147.966133,trains.json
4903,,,2M43,2M43,2026-04-30T00:02:48.407086Z,2026-04-30T01:03:19.068540Z,-34.710193,149.96268,trains.json
4908,,,BORAL,BORAL,2026-04-30T01:03:19.068540Z,2026-04-30T01:03:19.068540Z,-33.838593,151.02512,trains.json
5005,,AZ Coal,JW175,JW175 PWCS Kooragang Wambo / Jerry Plains,2026-04-30T00:02:48.407086Z,2026-04-30T01:03:19.068540Z,-32.579723,151.029227,trains.json
5009,,AZ Coal,JW978,JW978 Wambo/Jerry Plains NCIG Kooragang,2026-04-29T17:31:31.316802Z,2026-04-29T23:45:49.028656Z,-32.87141,151.74456,trains.json
5011,,AZ Coal,WG917,WG917 NCIG Kooragang Wilpinjong,2026-04-29T17:19:50.671764Z,2026-04-30T01:03:19.068540Z,-32.404073,150.360573,trains.json
5021,,AZ Coal,BW979,BW979 NCIG Kooragang Mt Arthur,2026-04-29T17:19:50.671764Z,2026-04-30T01:03:19.068540Z,-32.335203,150.901173,trains.json
5025,,AZ Coal,MN765,MN765 PWCS Kooragang Mangoola,2026-04-29T17:19:50.671764Z,2026-04-30T01:03:19.068540Z,-32.315667,150.714653,trains.json
5030,,AZ Coal,NM209,NM209,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-32.56397,151.158467,trains.json
5031,,AZ Coal,MP970,MP970 Mt Pleasant NCIG Kooragang,2026-04-29T17:31:31.316802Z,2026-04-30T00:32:55.361185Z,-32.871097,151.74216,trains.json
5032,,AZ Coal,WG705,WG705 NCIG Kooragang / Mac Generation Antiene Wilpinjong,2026-04-29T17:31:31.316802Z,2026-04-30T01:03:19.068540Z,-32.335193,149.876467,trains.json
5034,,AZ Coal,BW997,BW997 NCIG Kooragang Mt Arthur,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-32.332673,150.914653,trains.json
5041,,AZ Coal,HA455,HA455 Vales Point / Eraring Hexham,2026-04-29T17:19:50.671764Z,2026-04-30T00:02:48.407086Z,-32.823,151.680947,trains.json
5042,,Down Ardglen Bank Engines,AZBKDN,AZBKDN Ardglen Loop Chilcotts Creek Loop,2026-04-29T17:19:50.671764Z,2026-04-30T01:03:19.068540Z,-31.669197,150.74176,trains.json
